"mrr_date","gateway","simplified_plan_id","billing_interval","mrr"
2018-05-18,"Apple","business","month",8699.11
2018-05-18,"Stripe","business","month",550158.29
2018-05-18,"Stripe","awesome","year",266227.3849301
2018-05-18,"Apple","awesome","month",42472.51
2018-05-18,"Stripe","reply","year",446.9166666
2018-05-18,"Manual","reply","year",2850
2018-05-18,"Android","awesome","month",7515
2018-05-18,"Manual","reply","year",3570.6664
2018-05-18,"Apple","awesome","year",10573.45
2018-05-18,"Apple","business","year",13999.86
2018-05-18,"Android","business","month",1089
2018-05-18,"Stripe","awesome","month",356114.53
2018-05-18,"Manual","business","year",2786.3321
2018-05-18,"Manual","business","year",15051.914
2018-05-18,"Android","awesome","year",1497.5
2018-05-18,"Stripe","reply","month",23657.74
2018-05-18,"Manual","other","year",513.3331
2018-05-18,"Stripe","analyze","month",350
2018-05-18,"Stripe","business","year",182307.7732423
2018-05-17,"Manual","other","year",387.0832
2018-05-17,"Apple","awesome","year",10581.78
2018-05-17,"Stripe","awesome","year",266125.6774302
2018-05-17,"Stripe","business","month",548469.58
2018-05-17,"Manual","business","year",2786.3321
2018-05-17,"Android","business","month",1089
2018-05-17,"Manual","reply","year",2850
2018-05-17,"Stripe","analyze","month",350
2018-05-17,"Manual","reply","year",3570.6664
2018-05-17,"Android","awesome","month",7515
2018-05-17,"Stripe","business","year",182306.2190756
2018-05-17,"Manual","business","year",15093.9973
2018-05-17,"Apple","business","month",8799.1
2018-05-17,"Stripe","reply","month",23612.39
2018-05-17,"Android","awesome","year",1514.5
2018-05-17,"Stripe","awesome","month",355651.82
2018-05-17,"Apple","business","year",13999.86
2018-05-17,"Stripe","reply","year",446.9166666
2018-05-17,"Apple","awesome","month",42492.49
2018-05-16,"Manual","business","year",15093.9973
2018-05-16,"Apple","business","year",13999.86
2018-05-16,"Stripe","awesome","year",266070.1224301
2018-05-16,"Stripe","analyze","month",350
2018-05-16,"Stripe","business","month",547718.54
2018-05-16,"Stripe","reply","year",446.9166666
2018-05-16,"Manual","reply","year",2850
2018-05-16,"Manual","reply","year",3570.6664
2018-05-16,"Android","awesome","month",7490
2018-05-16,"Manual","business","year",2786.3321
2018-05-16,"Manual","other","year",387.0832
2018-05-16,"Stripe","awesome","month",355458.63
2018-05-16,"Stripe","business","year",182034.7382427
2018-05-16,"Android","awesome","year",1523
2018-05-16,"Apple","awesome","year",10573.45
2018-05-16,"Stripe","reply","month",23830.39
2018-05-16,"Apple","awesome","month",42567.42
2018-05-16,"Android","business","month",1089
2018-05-16,"Apple","business","month",8899.09
2018-05-15,"Stripe","awesome","month",354810.12
2018-05-15,"Apple","awesome","month",42677.31
2018-05-15,"Apple","business","month",8999.08
2018-05-15,"Apple","business","year",13999.86
2018-05-15,"Stripe","reply","year",446.9166666
2018-05-15,"Manual","business","year",2786.3321
2018-05-15,"Android","awesome","year",1531.5
2018-05-15,"Stripe","business","month",547003.91
2018-05-15,"Stripe","awesome","year",266022.6682635
2018-05-15,"Manual","reply","year",3570.6664
2018-05-15,"Stripe","analyze","month",350
2018-05-15,"Manual","other","year",387.0832
2018-05-15,"Apple","awesome","year",10573.45
2018-05-15,"Manual","business","year",15093.9973
2018-05-15,"Stripe","business","year",181945.2015762
2018-05-15,"Manual","reply","year",2850
2018-05-15,"Stripe","reply","month",23861.3
2018-05-15,"Android","awesome","month",7550
2018-05-15,"Android","business","month",990
2018-05-14,"Manual","reply","year",3570.6664
2018-05-14,"Stripe","business","month",547780.84
2018-05-14,"Stripe","awesome","year",265986.4932639
2018-05-14,"Apple","awesome","month",42657.33
2018-05-14,"Android","business","month",990
2018-05-14,"Stripe","reply","month",23961.3
2018-05-14,"Android","awesome","month",7565
2018-05-14,"Stripe","reply","year",446.9166666
2018-05-14,"Manual","reply","year",2850
2018-05-14,"Apple","business","month",8899.09
2018-05-14,"Manual","other","year",387.0832
2018-05-14,"Android","awesome","year",1531.5
2018-05-14,"Manual","business","year",2786.3321
2018-05-14,"Apple","business","year",13999.86
2018-05-14,"Apple","awesome","year",10540.13
2018-05-14,"Stripe","awesome","month",354320.22
2018-05-14,"Stripe","business","year",181392.2057431
2018-05-14,"Manual","business","year",15093.9973
2018-05-14,"Stripe","analyze","month",350
2018-05-13,"Apple","awesome","month",42687.3
2018-05-13,"Stripe","business","year",181552.4732431
2018-05-13,"Apple","awesome","year",10553.12
2018-05-13,"Stripe","business","month",548040.82
2018-05-13,"Stripe","awesome","year",265985.2924306
2018-05-13,"Android","business","month",990
2018-05-13,"Stripe","analyze","month",350
2018-05-13,"Stripe","reply","year",446.9166666
2018-05-13,"Stripe","reply","month",23961.3
2018-05-13,"Manual","other","year",387.0832
2018-05-13,"Manual","reply","year",3570.6664
2018-05-13,"Android","awesome","month",7565
2018-05-13,"Apple","business","year",13999.86
2018-05-13,"Manual","business","year",2786.3321
2018-05-13,"Manual","business","year",15093.9973
2018-05-13,"Stripe","awesome","month",354802.22
2018-05-13,"Manual","reply","year",2850
2018-05-13,"Android","awesome","year",1528
2018-05-13,"Apple","business","month",8999.08
2018-05-12,"Android","awesome","year",1528
2018-05-12,"Manual","business","year",15093.9973
2018-05-12,"Apple","business","year",13999.86
2018-05-12,"Manual","other","year",387.0832
2018-05-12,"Manual","reply","year",2850
2018-05-12,"Apple","awesome","year",10544.79
2018-05-12,"Stripe","awesome","year",266064.5032641
2018-05-12,"Stripe","analyze","month",350
2018-05-12,"Stripe","business","year",181992.273243
2018-05-12,"Stripe","reply","month",24036.3
2018-05-12,"Apple","awesome","month",42817.17
2018-05-12,"Stripe","awesome","month",355140.86
2018-05-12,"Android","awesome","month",7545
2018-05-12,"Manual","business","year",2786.3321
2018-05-12,"Manual","reply","year",3570.6664
2018-05-12,"Android","business","month",990
2018-05-12,"Stripe","business","month",548255.16
2018-05-12,"Apple","business","month",8999.08
2018-05-12,"Stripe","reply","year",446.9166666
2018-05-11,"Stripe","reply","month",24036.3
2018-05-11,"Apple","awesome","month",43046.94
2018-05-11,"Stripe","awesome","month",355081.09
2018-05-11,"Manual","business","month",900
2018-05-11,"Android","business","month",1089
2018-05-11,"Stripe","business","month",548346.38
2018-05-11,"Apple","business","year",13999.86
2018-05-11,"Apple","business","month",9199.06
2018-05-11,"Manual","other","year",387.0832
2018-05-11,"Apple","awesome","year",10544.79
2018-05-11,"Android","awesome","year",1528
2018-05-11,"Stripe","business","year",182053.7940764
2018-05-11,"Manual","business","year",15093.9973
2018-05-11,"Android","awesome","month",7540
2018-05-11,"Stripe","awesome","year",265945.7890977
2018-05-11,"Manual","business","year",2786.3321
2018-05-11,"Manual","reply","year",3570.6664
2018-05-11,"Stripe","analyze","month",350
2018-05-11,"Manual","reply","year",2850
2018-05-11,"Stripe","reply","year",446.9166666
2018-05-10,"Android","business","month",1089
2018-05-10,"Stripe","business","month",547822.52
2018-05-10,"Apple","business","month",8999.08
2018-05-10,"Manual","reply","year",3570.6664
2018-05-10,"Stripe","business","year",181868.0857431
2018-05-10,"Manual","other","year",387.0832
2018-05-10,"Manual","reply","year",2850
2018-05-10,"Android","awesome","month",7555
2018-05-10,"Manual","business","year",2786.3321
2018-05-10,"Manual","business","year",15093.9973
2018-05-10,"Stripe","analyze","month",350
2018-05-10,"Stripe","awesome","year",265902.4065976
2018-05-10,"Stripe","awesome","month",354989.34
2018-05-10,"Stripe","reply","month",23526.3
2018-05-10,"Apple","awesome","month",42972.01
2018-05-10,"Stripe","reply","year",446.9166666
2018-05-10,"Manual","business","month",900
2018-05-10,"Android","awesome","year",1536.5
2018-05-10,"Apple","awesome","year",10586.44
2018-05-10,"Apple","business","year",13999.86
2018-05-09,"Manual","business","month",900
2018-05-09,"Manual","reply","year",2850
2018-05-09,"Stripe","reply","month",23532.54
2018-05-09,"Apple","awesome","month",42872.11
2018-05-09,"Stripe","business","month",547322.92
2018-05-09,"Android","awesome","year",1545
2018-05-09,"Stripe","awesome","year",265847.4557642
2018-05-09,"Stripe","awesome","month",354615.94
2018-05-09,"Manual","reply","year",3570.6664
2018-05-09,"Apple","business","year",13999.86
2018-05-09,"Android","awesome","month",7580
2018-05-09,"Apple","business","month",8799.1
2018-05-09,"Stripe","business","year",181708.4407432
2018-05-09,"Stripe","reply","year",446.9166666
2018-05-09,"Manual","business","year",2786.3321
2018-05-09,"Android","business","month",1089
2018-05-09,"Manual","other","year",387.0832
2018-05-09,"Manual","business","year",15093.9973
2018-05-09,"Apple","awesome","year",10569.78
2018-05-09,"Stripe","analyze","month",350
2018-05-08,"Android","business","month",1188
2018-05-08,"Stripe","business","month",546821.88
2018-05-08,"Android","awesome","month",7590
2018-05-08,"Stripe","awesome","month",354450.48
2018-05-08,"Apple","business","year",13999.86
2018-05-08,"Apple","awesome","year",10578.11
2018-05-08,"Stripe","reply","year",446.9166666
2018-05-08,"Manual","other","year",387.0832
2018-05-08,"Apple","awesome","month",43031.95
2018-05-08,"Manual","reply","year",2850
2018-05-08,"Stripe","business","year",181412.4140767
2018-05-08,"Manual","business","year",2786.3321
2018-05-08,"Stripe","reply","month",23237.51
2018-05-08,"Manual","business","year",15093.9973
2018-05-08,"Manual","reply","year",3570.6664
2018-05-08,"Manual","business","month",900
2018-05-08,"Stripe","analyze","month",350
2018-05-08,"Apple","business","month",8699.11
2018-05-08,"Android","awesome","year",1553.5
2018-05-08,"Stripe","awesome","year",265709.1274309
2018-05-07,"Manual","reply","year",2850
2018-05-07,"Android","business","month",1188
2018-05-07,"Manual","other","year",387.0832
2018-05-07,"Manual","business","month",900
2018-05-07,"Manual","business","year",15093.9973
2018-05-07,"Apple","awesome","year",10561.45
2018-05-07,"Apple","business","month",8699.11
2018-05-07,"Stripe","business","month",545704.51
2018-05-07,"Apple","business","year",13999.86
2018-05-07,"Apple","awesome","month",43031.95
2018-05-07,"Android","awesome","year",1545
2018-05-07,"Stripe","awesome","month",354262.22
2018-05-07,"Manual","reply","year",3570.6664
2018-05-07,"Stripe","reply","month",23207.12
2018-05-07,"Stripe","reply","year",446.9166666
2018-05-07,"Stripe","awesome","year",265650.5040979
2018-05-07,"Manual","business","year",2786.3321
2018-05-07,"Stripe","analyze","month",350
2018-05-07,"Stripe","business","year",180812.9940772
2018-05-07,"Android","awesome","month",7625
2018-05-06,"Stripe","analyze","month",350
2018-05-06,"Android","awesome","month",7600
2018-05-06,"Stripe","awesome","year",265712.176598
2018-05-06,"Apple","business","year",13999.86
2018-05-06,"Manual","other","year",387.0832
2018-05-06,"Manual","business","month",900
2018-05-06,"Manual","reply","year",2850
2018-05-06,"Stripe","business","year",180982.1607438
2018-05-06,"Apple","awesome","year",10561.45
2018-05-06,"Stripe","reply","month",23188.72
2018-05-06,"Android","business","month",1089
2018-05-06,"Stripe","awesome","month",354314.38
2018-05-06,"Stripe","business","month",546166.89
2018-05-06,"Manual","reply","year",3570.6664
2018-05-06,"Android","awesome","year",1553.5
2018-05-06,"Manual","business","year",15093.9973
2018-05-06,"Apple","awesome","month",43111.87
2018-05-06,"Stripe","reply","year",446.9166666
2018-05-06,"Manual","business","year",2786.3321
2018-05-06,"Apple","business","month",8699.11
2018-05-05,"Apple","business","year",13999.86
2018-05-05,"Stripe","analyze","month",350
2018-05-05,"Android","awesome","month",7605
2018-05-05,"Android","business","month",1089
2018-05-05,"Manual","business","month",900
2018-05-05,"Apple","awesome","year",10561.45
2018-05-05,"Stripe","business","month",546428.54
2018-05-05,"Stripe","awesome","year",265837.5357646
2018-05-05,"Manual","other","year",387.0832
2018-05-05,"Stripe","reply","month",23113.72
2018-05-05,"Apple","awesome","month",43191.79
2018-05-05,"Manual","reply","year",2850
2018-05-05,"Stripe","awesome","month",354761.9
2018-05-05,"Manual","reply","year",3570.6664
2018-05-05,"Manual","business","year",2786.3321
2018-05-05,"Stripe","business","year",181224.4632436
2018-05-05,"Stripe","reply","year",446.9166666
2018-05-05,"Android","awesome","year",1541.5
2018-05-05,"Manual","business","year",15093.9973
2018-05-05,"Apple","business","month",8699.11
2018-05-04,"Stripe","awesome","year",265791.6724314
2018-05-04,"Manual","business","month",900
2018-05-04,"Manual","other","year",387.0832
2018-05-04,"Apple","business","year",13999.86
2018-05-04,"Manual","reply","year",2850
2018-05-04,"Android","awesome","month",7620
2018-05-04,"Apple","awesome","year",10578.11
2018-05-04,"Manual","business","year",15093.9973
2018-05-04,"Android","business","month",1089
2018-05-04,"Stripe","business","month",548161.85
2018-05-04,"Stripe","business","year",181455.1890768
2018-05-04,"Apple","business","month",8699.11
2018-05-04,"Stripe","awesome","month",354576.59
2018-05-04,"Android","awesome","year",1541.5
2018-05-04,"Manual","business","year",2786.3321
2018-05-04,"Apple","awesome","month",43231.75
2018-05-04,"Stripe","reply","year",446.9166666
2018-05-04,"Manual","reply","year",3570.6664
2018-05-04,"Stripe","analyze","month",350
2018-05-04,"Stripe","reply","month",23348.72
2018-05-03,"Android","business","month",1089
2018-05-03,"Android","awesome","month",7595
2018-05-03,"Apple","business","year",13999.86
2018-05-03,"Stripe","business","month",547813.74
2018-05-03,"Manual","business","year",2786.3321
2018-05-03,"Apple","business","month",8799.1
2018-05-03,"Manual","reply","year",2850
2018-05-03,"Stripe","business","year",181082.2857436
2018-05-03,"Stripe","reply","year",446.9166666
2018-05-03,"Android","awesome","year",1541.5
2018-05-03,"Stripe","awesome","month",353942.39
2018-05-03,"Apple","awesome","month",43241.74
2018-05-03,"Stripe","reply","month",23623.72
2018-05-03,"Manual","business","year",15093.9973
2018-05-03,"Manual","other","year",387.0832
2018-05-03,"Stripe","analyze","month",350
2018-05-03,"Manual","business","month",900
2018-05-03,"Apple","awesome","year",10603.1
2018-05-03,"Stripe","awesome","year",265720.9349312
2018-05-03,"Manual","reply","year",3570.6664
2018-05-02,"Android","awesome","month",7550
2018-05-02,"Apple","awesome","year",10603.1
2018-05-02,"Android","awesome","year",1541.5
2018-05-02,"Stripe","business","month",547475.99
2018-05-02,"Stripe","awesome","month",353471.57
2018-05-02,"Stripe","analyze","month",450
2018-05-02,"Manual","business","year",15093.9973
2018-05-02,"Manual","business","year",2786.3321
2018-05-02,"Manual","other","year",387.0832
2018-05-02,"Manual","business","month",900
2018-05-02,"Apple","business","month",8699.11
2018-05-02,"Apple","business","year",13999.86
2018-05-02,"Manual","reply","year",2850
2018-05-02,"Stripe","reply","month",23820.33
2018-05-02,"Stripe","reply","year",446.9166666
2018-05-02,"Manual","reply","year",3570.6664
2018-05-02,"Apple","awesome","month",43186.8
2018-05-02,"Stripe","business","year",181129.6532435
2018-05-02,"Android","business","month",1089
2018-05-02,"Stripe","awesome","year",265575.0690983
2018-05-01,"Stripe","awesome","year",265381.9832651
2018-05-01,"Manual","reply","year",2850
2018-05-01,"Android","awesome","month",7525
2018-05-01,"Android","awesome","year",1529.5
2018-05-01,"Stripe","business","month",546429.2
2018-05-01,"Manual","business","month",900
2018-05-01,"Stripe","awesome","month",352889.84
2018-05-01,"Stripe","reply","year",446.9166666
2018-05-01,"Manual","business","year",15093.9973
2018-05-01,"Apple","business","month",8599.12
2018-05-01,"Stripe","reply","month",23820.33
2018-05-01,"Apple","awesome","month",43236.75
2018-05-01,"Android","business","month",1089
2018-05-01,"Apple","awesome","year",10611.43
2018-05-01,"Manual","reply","year",3570.6664
2018-05-01,"Manual","business","year",2786.3321
2018-05-01,"Stripe","business","year",181144.6157434
2018-05-01,"Manual","other","year",387.0832
2018-05-01,"Apple","business","year",13999.86
2018-05-01,"Stripe","analyze","month",450
2018-04-30,"Manual","business","year",2702.1655
2018-04-30,"Stripe","analyze","month",450
2018-04-30,"Android","awesome","year",1529.5
2018-04-30,"Apple","business","year",13999.86
2018-04-30,"Stripe","awesome","year",265275.8257653
2018-04-30,"Apple","awesome","month",43206.78
2018-04-30,"Stripe","business","year",181359.4424102
2018-04-30,"Android","business","month",1089
2018-04-30,"Manual","reply","year",3570.6664
2018-04-30,"Manual","business","month",900
2018-04-30,"Stripe","business","month",545800.36
2018-04-30,"Apple","business","month",8499.13
2018-04-30,"Stripe","reply","month",24140.78
2018-04-30,"Android","awesome","month",7645
2018-04-30,"Manual","business","year",15093.9973
2018-04-30,"Stripe","awesome","month",352967.82
2018-04-30,"Stripe","reply","year",446.9166666
2018-04-30,"Manual","other","year",387.0832
2018-04-30,"Apple","awesome","year",10603.1
2018-04-30,"Manual","reply","year",2850
2018-04-29,"Android","business","month",1089
2018-04-29,"Android","awesome","year",1529.5
2018-04-29,"Apple","awesome","year",10578.11
2018-04-29,"Stripe","reply","month",24208.28
2018-04-29,"Apple","business","month",8799.1
2018-04-29,"Apple","awesome","month",43396.59
2018-04-29,"Manual","reply","year",3570.6664
2018-04-29,"Manual","business","year",2702.1655
2018-04-29,"Stripe","awesome","year",265290.3882655
2018-04-29,"Stripe","business","year",181366.3440768
2018-04-29,"Manual","reply","year",2850
2018-04-29,"Stripe","business","month",546093.05
2018-04-29,"Android","awesome","month",7680
2018-04-29,"Manual","business","year",15093.9973
2018-04-29,"Stripe","awesome","month",352943.11
2018-04-29,"Manual","business","month",900
2018-04-29,"Manual","other","year",387.0832
2018-04-29,"Stripe","analyze","month",450
2018-04-29,"Stripe","reply","year",446.9166666
2018-04-29,"Apple","business","year",13999.86
2018-04-28,"Stripe","awesome","month",353176.5
2018-04-28,"Stripe","business","year",181450.5107434
2018-04-28,"Stripe","reply","month",24128.34
2018-04-28,"Manual","business","year",15093.9973
2018-04-28,"Stripe","analyze","month",450
2018-04-28,"Apple","awesome","year",10586.44
2018-04-28,"Apple","awesome","month",43296.69
2018-04-28,"Stripe","awesome","year",265404.9090989
2018-04-28,"Manual","reply","year",2850
2018-04-28,"Manual","other","year",387.0832
2018-04-28,"Manual","reply","year",3570.6664
2018-04-28,"Android","awesome","year",1529.5
2018-04-28,"Android","business","month",1089
2018-04-28,"Apple","business","year",13999.86
2018-04-28,"Apple","business","month",8599.12
2018-04-28,"Stripe","business","month",545773.07
2018-04-28,"Manual","business","year",2702.1655
2018-04-28,"Stripe","reply","year",446.9166666
2018-04-28,"Android","awesome","month",7665
2018-04-28,"Manual","business","month",900
2018-04-27,"Apple","awesome","month",43436.55
2018-04-27,"Apple","business","month",8599.12
2018-04-27,"Manual","business","year",2702.1655
2018-04-27,"Stripe","awesome","year",265354.3215989
2018-04-27,"Stripe","reply","month",24130.83
2018-04-27,"Stripe","business","month",545979.88
2018-04-27,"Manual","reply","year",3570.6664
2018-04-27,"Stripe","analyze","month",450
2018-04-27,"Stripe","reply","year",446.9166666
2018-04-27,"Manual","reply","year",2850
2018-04-27,"Stripe","business","year",181817.4790765
2018-04-27,"Apple","awesome","year",10603.1
2018-04-27,"Android","business","month",1089
2018-04-27,"Stripe","awesome","month",353171.25
2018-04-27,"Android","awesome","year",1538
2018-04-27,"Manual","business","month",900
2018-04-27,"Apple","business","year",13999.86
2018-04-27,"Manual","other","year",387.0832
2018-04-27,"Android","awesome","month",7655
2018-04-27,"Manual","business","year",15093.9973
2018-04-26,"Manual","reply","year",2850
2018-04-26,"Stripe","awesome","year",265156.1182657
2018-04-26,"Android","business","month",1089
2018-04-26,"Stripe","analyze","month",450
2018-04-26,"Apple","awesome","month",43526.46
2018-04-26,"Android","awesome","month",7655
2018-04-26,"Manual","other","year",387.0832
2018-04-26,"Apple","business","year",13999.86
2018-04-26,"Stripe","reply","month",23931.08
2018-04-26,"Manual","business","month",900
2018-04-26,"Android","awesome","year",1538
2018-04-26,"Apple","business","month",8699.11
